,,,,, شاخص‌های همکاری ,,,,, شاخص‌های رقابت,,,,,,,,,
,اسنپ تریپ,خدمات سفر ,خرید بلیط هواپیما، اتوبوس و قطار، رزرو هتل، هتل آپارتمان، و تورهای مسافرتی ,ارسال خریدهای انجام شده در سفر به یک مرکز جابار به عنوان مثال!,3,4,1,3,1,4,1,1,3,2,2.4,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
گلرنگ,سامیا,خدمات خودرو,راه‌اندازی تعمیرگاه سراسری، توزیع قطعات تولید ملی ,تامین قطعات ناوگان تمکو و تیپاکس,9,8,4,4,5,2,1,5,5,3,6,3.2,⚪ بی‌تأثیر / غیرمرتبط,,
,شرکت های سلامت,خدمات دارویی، بهداشتی و مکمل ,تولید، تهیه و پخش دارو، مکمل، فرآورده های طبیعی، محصولات بهداشتی و ارائه مکمل های تغذیه ای دارویی و داروهای طبیعی و گیاهی ,,8,9,5,5,5,4,4,5,4,4,6.4,4.2,⚪ بی‌تأثیر / غیرمرتبط,,
,گلرنگ سیستم,فناوری اطلاعات و ارتباطات ,ارائه راه حل های فناوری اطلاعات در جهت کمک به افزایش بهره وری و ارتقا، توانمند سازی و افزایش سوداوری گروه گلرنگ,,5,7,6,6,2,5,2,8,7,6,5.2,5.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / فرصت های توسعه بازار,
,گلرنگ ونچرز,سرمایه‌گذاری,گروه سرمایه گذاری گروه صنعتی گلرنگ,,7,7,7,5,5,6,4,8,10,8,6.2,7.2,🔴 رقیب خالص,سرمایه‌گذار در رقبا / خطر ورود به بازار,
,الوپیک,سفارش آنلاین پیک موتوری,حمل و نقل درون شهری مرسوله ,,4,5,6,8,3,7,7,6,7,8,5.2,7,🔴 رقیب خالص,تهدید بازار / سرمایه‌گذار در رقبا / محرک توسعه داخلی / خطر ورود به بازار,
,انیاک,فینتک ,"تولید و فروش دستگاه های کارتخوان اندرویدی، ارائه خدمات پس از فروش، توزیع سطح یک شارژ اپراتورها، صدور و شخصی سازی کارت الکترونیکی- ارائه کننده اپلیکیشن ""هپی""",,6,7,5,4,2,3,1,2,2,2,4.8,2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,پاکشو,کالاهای مصرفی,تولید کننده مواد شوینده، آرایشی و بهداشتی ,,6,8,5,5,3,3,1,7,4,3,5.4,3.6,⚪ بی‌تأثیر / غیرمرتبط,,
,کوروش مال,مرکز خرید,ارائه خدمات تجاری، تفریحی و فرهنگی,,9,8,6,5,5,3,1,10,5,1,6.6,4,🟢 شریک خالص,مشتری فعلی یا بالقوه / مکمل زنجیره ارزش / محرک تقاضا,
,شرکت های حوزه خوراکی,کالاهای مصرفی,تولید مواد غذایی از جمله ماکارانی، رب گوجه فرنگی، تن ماهی، سس کچاپ، روغن زیتون، سرکه سیب، دانه زیتون,,9,9,6,5,5,3,1,7,2,1,6.8,2.8,🟢 شریک خالص,مشتری فعلی یا بالقوه / مکمل زنجیره ارزش / محرک تقاضا,
,ژوپیتر, سرزمین بازی(خدمات مصرف کننده) ,ارائه خدمات عمومی یه مردم- مدارس و مهدهای کودک-خدمات به ادارات و شرکت ها در قالب نرم افزار(پنل سازمانی)ارائه خدمات فروش آنلاین(شارژ کارت),,7,6,2,1,3,1,1,7,1,1,3.8,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,تپسی,تاکسی اینترنتی ,حمل و نقل شهری ,,5,8,7,7,3,6,7,8,5,7,6,6.6,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / همراستایی ضعیف بالقوه در آینده,
,تارا,فینتک,,,,,,,,,,,,,,,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,زپ,ناوگان موتوری,حمل و نقل کالاها,,5,8,7,8,3,7,6,8,6,8,6.2,7,🔴 رقیب خالص,خطر ورود به بازار,
,شب,گردشگری و رزرو اقامتگاه,یک پلتفرم آنلاین برای اجاره اقامتگاه(ویلا، سوئیت، اقامتگاه بومگردی و سوئیت),,2,6,5,4,1,2,1,8,3,1,3.6,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,اکالا,سوپر مارکت انلاین ,سوپرمارکت اینترنتی وابسته به افق کوروش برای فروش انلاین محصولات مصرفی با ارسال سریع و اعمال تخفیف,,6,9,7,7,4,5,5,10,8,4,6.6,6.4,🟢 شریک خالص,سرمایه‌گذار بالقوه / شریک زیرساختی / مکمل زنجیره ارزش,
,افق کوروش,فروشگاه زنجیره ای,ارائه محصولات تند گردش از طریق خرده فروشی خواروبار,,4,10,6,4,4,4,2,10,7,1,5.6,4.8,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه,
علی بابا,علی بابا,گردشگری و خدمات سفر آنلاین ,پلتفرم جامع آنلاین بلیط هواپیما، قطار، اتوبوس، تور، هتل و اقامتگاه و ارائه دهنده خدمات مختلف سفر ,,2,6,4,4,1,2,1,7,7,1,3.4,3.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / فرصت های توسعه بازار,
,علی بابا پلاس,محتوای گردشگری و اشتراک تجربه سفر, پلتفرم آنلاین برای به اشتراک گذاری تجربیات و نظرات افراد متفاوت از سفر,,1,2,1,1,1,1,1,7,1,1,1.2,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
انتخاب,دانشگاه انتخاب,آموزش ,موسسه اموزش عالی با مجوز وزارت علوم با محوریت رشته های فنی، مهندسی و مدیریتی ,به عنوان مثال: برگزاری دوره های مشترک آموزشی!,1,2,8,7,1,3,1,10,4,1,3.8,3.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
,مکسا,مسئولیت اجتماعی(سلامت),مرکز خیریه با هدف پیشگیری، غربالگری و درمان بیماران مبتلا به سرطان، ارائه دهنده خدمات حمایتی و درمانی,,2,1,1,1,1,1,1,7,1,1,1.2,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,دکاپست,اپراتور پستی,,,2,1,8,8,3,7,8,10,8,10,4.4,8.6,🔴 رقیب خالص,تهدید بازار / سرمایه‌گذار در رقبا / محرک توسعه داخلی / خطر ورود به بازار,
,صنایع پتروشیمی,انرژی ,سرمایه گذاری در پروژه های پتروشیمی با هدف تکمیل زنجیره ارزش و توسعه صنعتی کشور ,,7,7,5,5,4,3,1,10,5,2,5.6,4.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,اسنوا ونچرز,سرمایه‌گذاری,,,2,7,9,7,2,3,1,10,10,5,5.4,5.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
,محصولات (اسنوا، ...),لوازم خانگی ,تولیدکننده انواع لوازم خانگی ,,8,8,5,5,3,5,3,10,6,6,5.8,6,⚪ بی‌تأثیر / غیرمرتبط,,
,انتخاب من,خرده فروشی لوازم خانگی ,فروش لوازم خانگی های وابسته به همین گروه( دوو، اسنوا و تکنوگاز) به صورت آنلاین و حضوری,,8,8,5,5,3,5,3,10,6,6,5.8,6,⚪ بی‌تأثیر / غیرمرتبط,,
ماموت,؟,تولید وسایل حمل و نقل و لجستیک,تولید کننده تریلر و اتاق ایزوله و اتاق ایزوله برای حمل و نقل جاده ای و ارائه خدمات پس از فروش ,به طور کلی هلدینگ ماموت بررسی گردیده است,8,6,8,6,5,4,4,7,8,10,6.6,6.6,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه,
آواکتان,دومیل,فناوری اطلاعات و تحول در خرده فروشی ,این سرویس در زمینه مانیتورینگ و گزارش گیری، شبکه و زیرساخت، افزایش نرخ تبدیل و کمک به برندسازی در  صنایع خرده فروشی است,,1,3,3,3,1,6,1,7,7,3,2.2,4.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / فرصت های توسعه بازار,
,بالکافه,کافه و رستوران,کافه و رستوران با منوی تخصصی قهوه,,3,7,5,3,3,4,1,7,2,1,4.2,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,متا فیتنس,باشگاه ورزشی,باشگاه ورزشی شامل ورزش های مختلف واقع در محل الهیه تهران مجتمع سام سنتر,,1,3,5,2,1,1,1,7,1,1,2.4,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,اینشو,بیمه ,پلتفرم بیمه انلاین برای افراد و سازمان ها,,1,8,8,7,1,1,3,7,2,1,5,2.8,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / همراستایی ضعیف بالقوه در آینده,
,دلیش,کترینگ سازمانی,ارائه دهنده خدمات کترینگ برای سازمان ها,,10,9,8,4,4,5,1,7,3,4,7,4,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه / مکمل زنجیره ارزش / محرک تقاضا,
,جین وست,فروشگاه پوشاک,ارائه دهنده پوشاک اسپرت و کژوال ,,10,10,8,4,4,3,1,8,6,2,7.2,4,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه / مکمل زنجیره ارزش / محرک تقاضا,
,دیجی واش,خشکشویی آنلاین ,پلتفرم آنلاین خشکشویی آنلاین ,,10,10,5,5,4,3,1,10,5,1,6.8,4,🟢 شریک خالص,مشتری فعلی یا بالقوه / مکمل زنجیره ارزش / محرک تقاضا,
,بانی مد,فروشگاه آنلاین پوشاک,فروشگاه آنلاین پوشاک ایرانی و خارجی,,10,9,8,5,8,5,1,8,7,7,8,5.6,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه / مکمل زنجیره ارزش / محرک تقاضا / شریک توسعه محصول,
زرین پال,,فینتک ,ارائه دهنده درگاه اینترنتی، خدمات پرداخت اینترنتی، کیف پول الکترونیکی، تسهیم وجه و پرداخت های نویی برای کسب و کارهای انلاین و افلاین,از طریق همکاری های چندجانبه اکوسیستمی!,1,8,5,8,1,5,1,7,3,1,4.6,3.4,⚪ بی‌تأثیر / غیرمرتبط,زیرساخت جایگزین در زمان بحران,
هزاردستان,فانوس (برای ارتباط فرداست),فینتک ,اپلیکیشن مدیریت مالی و حسابداری شخصی به همراه ارائه پیشنهادهای اقتصادی,,1,4,3,2,1,5,1,7,2,1,2.2,3.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,پیشگامان,,,,1,1,1,1,1,1,1,1,1,1,1,1,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,ستون,زیرساخت و رایانش ابری,ارائه دهنده خدمات زیرساختی، رایانش ابری و هوش مصنوعی به کسب‌وکارها,,1,4,1,5,1,4,1,7,2,1,2.4,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,جوانه,سرمایه گذاری ,پلتفرم سرمایه گذاری گروه هزاردستان که ریسک بالایی دارد و اولویت سرمایه گذاری در استارت اپ ها و کسب و کارهای انلاین را دارد ,,3,8,8,5,2,2,1,7,8,5,5.2,4.6,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / همراستایی ضعیف بالقوه در آینده,
,قرار,ارتباطات آنلاین,ارائه سرویس یکپارچه ارتباط آنلاین مانند جلسات و نشست های مجازی برای اشخاص و شرکتها,,1,1,1,1,1,3,1,7,1,1,1,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,کارنامه,خدمات خودرو,پلتفرم خرید و فروش خودرو و ارائه دهنده انواع خدمات مربوط به خرید و فروش خودرو از جمله کارشناسی خودرو و فروش سفارشی خودرو و خرید اقساطی,,4,4,4,4,2,5,1,7,3,1,3.6,3.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,دیوار,پلتفرم آگهی آنلاین ,پلتفرم درج آگهی آنلاین برای خرید و فروش، اجاره املاک، خودرو، کالاهای دست دوم و نو و حتی استخدام,,7,9,8,7,2,5,1,7,7,3,6.6,4.6,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه / شریک زیرساختی / مکمل زنجیره ارزش / محرک تقاضا,
صبانت,تامین کننده اینترنت,ارتباطات و فناوری اطلاعات,ارائه هرگونه خدمات مخابراتی، ارتباطی و انتقال داده‌ها از قبیل دسترسی به شبکه ملی اطلاعات، اینترنت پرسرعت، خدمات شبکه‌های اختصاصی و ...,,3,6,2,5,1,4,1,7,2,1,3.4,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
تپسل,ابزارهای مارکتینگ,تبلیغات دیجیتال,ارائه راهکارهای جامع و هوشمند در زمینه تبلیغات دیجیتال,,1,3,3,2,1,4,1,7,2,1,2,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,آکادمی تپسل (کالج تپسل),آموزش,ارائه دوره های ضبط شده کوتاه و وبلاگ متنی در زمینه دیجیتال مارکتینگ (بیشتر برای سئو سایت),تولید محتوا در رابطه با نقش لجستیک در سودآوری کسب و کارهای آنلاین کوچک,1,3,9,6,1,2,1,7,2,1,4,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
یکتانت,تریبون,تبلیغات دیجیتال,ارائه کمپین های رپورتاژ آگهی و درج بک لینک در رسانه های داخلی و خارجی,,1,3,3,2,1,4,1,7,2,1,2,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,جریان,تبلیغات دیجیتال,ارائه کمپین تبلیغاتی در اینستاگرام، تلگرام، لینکدین و روبیکا,,1,3,3,2,1,4,1,7,2,1,2,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,ادیوری,تبلیغات دیجیتال,پلتفرم تبلیغات درون اپلیکشن و بازی موبایل است که  تبلیغات بنری، همسان و ویدئویی ارائه میدهد که هم صاحبان اپلیکیشن میتوانند درامدزای داشته باشند و هم سایرین تبلیغ سفارش دهند.,,1,3,3,2,1,4,1,7,2,1,2,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,نجوا,تبلیغات دیجیتال,ارائه سرویس ارسال اعلان (Push Notification)، سرویس ایمیل مارکتینگ و سرویس اس‌ام‌اس مارکتینگ (ریتنشن مارکتینگ) ,,1,3,3,2,1,4,1,7,2,1,2,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,آکادمی یکتانت,آموزش,ارائه دوره های ضبط شده کوتاه و رایگان در زمینه دیجیتال مارکتینگ ,تولید محتوا در رابطه با نقش لجستیک در سودآوری کسب و کارهای آنلاین کوچک,1,3,6,6,1,2,1,7,2,1,3.4,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
تکنوتجارت,financial inbox,سرمایه گذاری خطرپذیر,رائه حمایت‌های مالی، مشاوره بازاریابی، منابع انسانی و حمایت از توسعه زیرساخت‌های اثر‌گذار در ایجاد کسب‌و‌کارهای نوپا,,3,10,10,6,1,2,1,7,10,8,6,5.6,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / همراستایی ضعیف بالقوه در آینده,
,پی بار,فینتک - لجستیک,ارائه خدمات در راستای مدیریت فرایند حمل و نقل جاده ای از جمله دیجیتال سازی بارنامه، استفاده از خدمات بانکی تحت پلتفرم، سیستم گزارش گیری و ...,,7,10,8,8,2,3,5,8,7,7,7,6,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه / شریک زیرساختی / مکمل زنجیره ارزش / محرک تقاضا,
,آیان,فینتک - فناوری اطلاعات,ارائه خدمات مدیریت، استعلام و پرداخت قبوض (قبضینو) و همینطور خدمات شهروندی یک دفتر پیشخوان آنلاین مانند استعلام سهام عدالت، یارانه نقدی، خرید شارژ و بسته اینترنت و ... (پیشخوان24),,1,2,2,3,1,2,1,7,2,1,1.8,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,بیدُک,تجارت الکترونیک,فروشگاه‌ساز با ویژگی Omni-channel که اطلاعات موجود در تمامی کانال‌های فروش محصول را یکپارچه می‌کند و با سیستم‌های حسابداری اصناف به‌صورت آنلاین در ارتباط است.,اتصال وبسایت های ساخته شده به API سرویس های هلدینگ,9,10,9,5,1,4,2,8,5,3,6.8,4.4,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه / مکمل زنجیره ارزش / محرک تقاضا,
,باروک,فینتک,پلتفرم مدیریت تامین مالی کسب و کارها از طریق اتصال مشتریان ورودی حقیقی و حقوقی پلتفرم به یکدیگر ,,3,5,6,3,1,4,1,7,2,1,3.6,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,لامینگو,خدمات حقوقی,پلتفرم ارائۀ خدمات حقوقی از جمله تنظیم آنلاین قرارداد و اسناد حقوقی و ارائه خدمات مشاوره ای,,2,8,4,3,1,4,1,7,1,1,3.6,2.8,⚪ بی‌تأثیر / غیرمرتبط,,
,جاده,لجستیک,پل ارتباطی بین راننده (ماشین های سنگین)، باربری و صاحب کالا و مدیریت و اتوماسیون سازی فرایندهای حمل,,6,8,7,7,2,5,5,10,7,7,6,6.8,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / همراستایی ضعیف بالقوه در آینده,
