,,,,,,,"تصمیم‌سازان و تنظیم‌گران 
(Decision & Control Forces)",,,"بازیگران زنجیره ارزش 
(Value Chain Actors)",,,"جهت‌دهندگان بازار 
(Market Drivers)",,"توانمندسازان اکوسیستم 
(Ecosystem Enablers)",
,دیجی‌فای,فروشگاه‌ساز,ساخت فروشگاه اینترنتی برای کسب‌وکارها,شریک راهبردی,مشتری,اتصال وبسایت های ساخته شده با دیجی فای به API سرویس های هلدینگ,3,2,8,10,5,7,8,6,3,4
,دیجی‌کلاود,زیرساخت ابری,ارائه خدمات Cloud و DevOps برای تیم‌های تکنولوژی و استارتاپ‌ها,رقیب,خنثی,,3,5,5,7,3,7,3,3,2,1
,فیدیبو,کتاب,پلتفرم قانونی خرید، دانلود و گوش‌دادن کتاب‌های دیجیتال,مشتری,سرمایه گذار,,7,1,5,6,8,5,10,3,5,5
,کانتنت فکتوری,محتوا,مرکز تولید تصویر، ویدیو و متن برای معرفی کالاها,خنثی,خنثی,,1,1,10,5,1,5,3,3,1,7
,دیجی‌کالا مگ,رسانه,رسانه فناوری و سبک زندگی,خنثی,خنثی,,1,1,7,3,6,3,3,1,1,5
,مگنت,راهنمای خرید,پلتفرم بررسی تخصصی، رتبه‌بندی و انتخاب محصولات,خنثی,خنثی,,1,1,8,5,7,3,8,1,3,1
,دیجی‌کالا بیزینس,تامین سازمانی,B2B پلتفرم خرید کالا برای شرکت‌ها، سازمان‌ها و مغازه‌ها,شریک راهبردی,مشتری,,2,1,1,5,5,5,6,1,3,3
,دیجی‌کالا مهر,نیکوکاری و مسئولیت اجتماعی,پلتفرم خیریه برای تأمین و ارسال کالا به مؤسسات,مشتری,خنثی,,1,1,1,1,7,5,3,1,1,1
,بومی و محلی,توانمندسازی,پروژه حمایت از مشاغل خانگی، محلی و زنان روستایی,مشتری,خنثی,,1,2,3,3,3,7,2,3,4,2
,سلر آکادمی,آموزش,آموزش و توانمندسازی فروشندگان مارکت‌پلیس دیجی‌کالا,خنثی,خنثی,,1,1,5,3,3,6,4,1,1,1
اسنپ,اسنپ باکس,لجستیک,ارسال و حمل کالا,رقیب,شریک راهبردی,,7,3,7,5,5,5,10,10,5,3
,اسنپ پی,فینتک ,خرید اعتباری، خرید اقساطی، خرید بیمه آنلاین، پرداخت مستقیم ,شریک راهبردی,خنثی,,,,,,,,,,,
,اسنپ,تاکسی اینترنتی ,حمل‌و‌نقل شهری,خنثی,رقیب,,,,,,,,,,,
,اسنپ truck,لجستیک,خدمات حمل بار درون شهری/برون شهری,رقیب,شریک راهبردی,,,,,,,,,,,
,اسنپ دکتر,بیمارستان آنلاین,مشاوره آنلاین پزشکی و روانشناسی، سفارش آنلاین دارو، خرید محصولات پزشکی، ارایشی و بهداشتی، ویزیت پزشک در منزل و انجام ازمایش خون در منزل ,شریک راهبردی,شریک راهبردی,,,,,,,,,,,
,اسنپ مارکت,خرید آنلاین از سوپر مارکت,سوپر مارکت اینترنتی با همکاری دو شرکت اسنپ و هایپرمارکت,مشتری,شریک راهبردی,,,,,,,,,,,
,اسنپ شاپ,مارکت پلیس,خرید آنلاین محصولات مختلف ,مشتری,شریک راهبردی,,,,,,,,,,,
,اسنپ فود,سرویس غذا , خریــد و پیش‌ســفارش از رســتوران‌ها، کافه‌هــا، نانوایی‌هــا، میوه‌فروشــی‌ها، شیرینی‌فروشــی‌ها، آجیل‌فروشــی‌ها، فروشــگاه‌های مــواد پروتئینــی و لبنیــات، امــکان سـفارش آنلایـن گل و گیـاه، محصـولات آرایشـی و بهداشـتی,مشتری,شریک راهبردی,,,,,,,,,,,
,اسنپ تریپ,خدمات سفر ,خرید بلیط هواپیما، اتوبوس و قطار، رزرو هتل، هتل آپارتمان، و تورهای مسافرتی ,شریک راهبردی,خنثی,ارسال خریدهای انجام شده در سفر به یک مرکز جابار به عنوان مثال!,,,,,,,,,,
گلرنگ,سامیا,خدمات خودرو,راه‌اندازی تعمیرگاه سراسری، توزیع قطعات تولید ملی ,مشتری,شریک راهبردی,تامین قطعات ناوگان تمکو و تیپاکس,,,,,,,,,,
,شرکت های سلامت,خدمات دارویی، بهداشتی و مکمل ,تولید، تهیه و پخش دارو، مکمل، فرآورده های طبیعی، محصولات بهداشتی و ارائه مکمل های تغذیه ای دارویی و داروهای طبیعی و گیاهی ,مشتری,خنثی,,,,,,,,,,,
,گلرنگ سیستم,فناوری اطلاعات و ارتباطات ,ارائه راه حل های فناوری اطلاعات در جهت کمک به افزایش بهره وری و ارتقا، توانمند سازی و افزایش سوداوری گروه گلرنگ,شریک راهبردی,سرمایه گذار,,,,,,,,,,,
,الوپیک,سفارش آنلاین پیک موتوری,حمل و نقل درون شهری مرسوله ,رقیب,شریک راهبردی,,,,,,,,,,,
,انیاک,فینتک ,"تولید و فروش دستگاه های کارتخوان اندرویدی، ارائه خدمات پس از فروش، توزیع سطح یک شارژ اپراتورها، صدور و شخصی سازی کارت الکترونیکی- ارائه کننده اپلیکیشن ""هپی""",مشتری,خنثی,,,,,,,,,,,
,پاکشو,کالاهای مصرفی,تولید کننده مواد شوینده، آرایشی و بهداشتی ,مشتری,شریک راهبردی,,,,,,,,,,,
,کوروش مال,مرکز خرید,ارائه خدمات تجاری، تفریحی و فرهنگی,شریک راهبردی,مشتری,,,,,,,,,,,
,شرکت های حوزه خوراکی,کالاهای مصرفی,تولید مواد غذایی از جمله ماکارانی، رب گوجه فرنگی، تن ماهی، سس کچاپ، روغن زیتون، سرکه سیب، دانه زیتون,مشتری,شریک راهبردی,,,,,,,,,,,
,ژوپیتر, سرزمین بازی(خدمات مصرف کننده) ,ارائه خدمات عمومی یه مردم- مدارس و مهدهای کودک-خدمات به ادارات و شرکت ها در قالب نرم افزار(پنل سازمانی)ارائه خدمات فروش آنلاین(شارژ کارت),شریک راهبردی,خنثی,,,,,,,,,,,
,تپسی,تاکسی اینترنتی ,حمل و نقل شهری ,شریک راهبردی,رقیب,,,,,,,,,,,
,زپ,ناوگان موتوری,حمل و نقل کالاها,رقیب,شریک راهبردی,,,,,,,,,,,
,شب,گردشگری و رزرو اقامتگاه,یک پلتفرم آنلاین برای اجاره اقامتگاه(ویلا، سوئیت، اقامتگاه بومگردی و سوئیت),شریک راهبردی,خنثی,,,,,,,,,,,
,اکالا,سوپر مارکت انلاین ,سوپرمارکت اینترنتی وابسته به افق کوروش برای فروش انلاین محصولات مصرفی با ارسال سریع و اعمال تخفیف,شریک راهبردی,مشتری,,,,,,,,,,,
,افق کوروش,فروشگاه زنجیره ای,ارائه محصولات تند گردش از طریق خرده فروشی خواروبار,شریک راهبردی,خنثی,,,,,,,,,,,
علی بابا,علی بابا,گردشگری و خدمات سفر آنلاین ,پلتفرم جامع آنلاین بلیط هواپیما، قطار، اتوبوس، تور، هتل و اقامتگاه و ارائه دهنده خدمات مختلف سفر ,شریک راهبردی,خنثی,,,,,,,,,,,
,علی بابا پلاس,محتوای گردشگری و اشتراک تجربه سفر, پلتفرم آنلاین برای به اشتراک گذاری تجربیات و نظرات افراد متفاوت از سفر,خنثی,خنثی,,,,,,,,,,,
انتخاب,دانشگاه انتخاب,آموزش ,موسسه اموزش عالی با مجوز وزارت علوم با محوریت رشته های فنی، مهندسی و مدیریتی ,خنثی,شریک راهبردی,به عنوان مثال: برگزاری دوره های مشترک آموزشی!,,,,,,,,,,
,مکسا,مسئولیت اجتماعی(سلامت),مرکز خیریه با هدف پیشگیری، غربالگری و درمان بیماران مبتلا به سرطان، ارائه دهنده خدمات حمایتی و درمانی,خنثی,خنثی,,,,,,,,,,,
,دکاپست,اپراتور پستی,,رقیب,شریک راهبردی,,,,,,,,,,,
,صنایع پتروشیمی,انرژی ,سرمایه گذاری در پروژه های پتروشیمی با هدف تکمیل زنجیره ارزش و توسعه صنعتی کشور ,سرمایه گذار,خنثی,,,,,,,,,,,
,محصولات (اسنوا، ...),لوازم خانگی ,تولیدکننده انواع لوازم خانگی ,مشتری,شریک راهبردی,,,,,,,,,,,
,انتخاب من,خرده فروشی لوازم خانگی ,فروش لوازم خانگی های وابسته به همین گروه( دوو، اسنوا و تکنوگاز) به صورت آنلاین و حضوری,مشتری,شریک راهبردی,,,,,,,,,,,
ماموت,؟,تولید وسایل حمل و نقل و لجستیک,تولید کننده تریلر و اتاق ایزوله و اتاق ایزوله برای حمل و نقل جاده ای و ارائه خدمات پس از فروش ,شریک راهبردی,سرمایه گذار,به طور کلی هلدینگ ماموت بررسی گردیده است,,,,,,,,,,
آواکتان,دومیل,فناوری اطلاعات و تحول در خرده فروشی ,این سرویس در زمینه مانیتورینگ و گزارش گیری، شبکه و زیرساخت، افزایش نرخ تبدیل و کمک به برندسازی در  صنایع خرده فروشی است,شریک راهبردی,خنثی,,,,,,,,,,,
,بالکافه,کافه و رستوران,کافه و رستوران با منوی تخصصی قهوه,خنثی,مشتری,,,,,,,,,,,
,متا فیتنس,باشگاه ورزشی,باشگاه ورزشی شامل ورزش های مختلف واقع در محل الهیه تهران مجتمع سام سنتر,خنثی,مشتری,,,,,,,,,,,
,اینشو,بیمه ,پلتفرم بیمه انلاین برای افراد و سازمان ها,خنثی,خنثی,,,,,,,,,,,
,دلیش,کترینگ سازمانی,ارائه دهنده خدمات کترینگ برای سازمان ها,شریک راهبردی,مشتری,,,,,,,,,,,
,جین وست,فروشگاه پوشاک,ارائه دهنده پوشاک اسپرت و کژوال ,شریک راهبردی,مشتری,,,,,,,,,,,
,دیجی واش,خشکشویی آنلاین ,پلتفرم آنلاین خشکشویی آنلاین ,شریک راهبردی,مشتری,,,,,,,,,,,
,بانی مد,فروشگاه آنلاین پوشاک,فروشگاه آنلاین پوشاک ایرانی و خارجی,مشتری,شریک راهبردی,,,,,,,,,,,
زرین پال,,فینتک ,ارائه دهنده درگاه اینترنتی، خدمات پرداخت اینترنتی، کیف پول الکترونیکی، تسهیم وجه و پرداخت های نویی برای کسب و کارهای انلاین و افلاین,شریک راهبردی,خنثی,از طریق همکاری های چندجانبه اکوسیستمی!,,,,,,,,,,
هزاردستان,فانوس (برای ارتباط فرداست),فینتک ,اپلیکیشن مدیریت مالی و حسابداری شخصی به همراه ارائه پیشنهادهای اقتصادی,شریک راهبردی,خنثی,,,,,,,,,,,
,پیشگامان,,,خنثی,خنثی,,,,,,,,,,,
,ستون,زیرساخت و رایانش ابری,ارائه دهنده خدمات زیرساختی، رایانش ابری و هوش مصنوعی به کسب‌وکارها,شریک راهبردی,خنثی,,,,,,,,,,,
,جوانه,سرمایه گذاری ,پلتفرم سرمایه گذاری گروه هزاردستان که ریسک بالایی دارد و اولویت سرمایه گذاری در استارت اپ ها و کسب و کارهای انلاین را دارد ,سرمایه گذار,خنثی,,,,,,,,,,,
,قرار,ارتباطات آنلاین,ارائه سرویس یکپارچه ارتباط آنلاین مانند جلسات و نشست های مجازی برای اشخاص و شرکتها,خنثی,خنثی,,,,,,,,,,,
,کارنامه,خدمات خودرو,پلتفرم خرید و فروش خودرو و ارائه دهنده انواع خدمات مربوط به خرید و فروش خودرو از جمله کارشناسی خودرو و فروش سفارشی خودرو و خرید اقساطی,شریک راهبردی,خنثی,,,,,,,,,,,
,دیوار,پلتفرم آگهی آنلاین ,پلتفرم درج آگهی آنلاین برای خرید و فروش، اجاره املاک، خودرو، کالاهای دست دوم و نو و حتی استخدام,شریک راهبردی,خنثی,,,,,,,,,,,
صبانت,تامین کننده اینترنت,ارتباطات و فناوری اطلاعات,ارائه هرگونه خدمات مخابراتی، ارتباطی و انتقال داده‌ها از قبیل دسترسی به شبکه ملی اطلاعات، اینترنت پرسرعت، خدمات شبکه‌های اختصاصی و ...,خنثی,خنثی,,,,,,,,,,,
,سیستم ویپ,ارتباطات و مخابرات,فراهم نمودن مکالمات تلفنی بر بستر اینترنت، ارائه سـرویس ویدئو کنفرانس، Voice Mail، مکالمه تصویری و ...,خنثی,خنثی,,,,,,,,,,,
تپسل,ابزارهای مارکتینگ,تبلیغات دیجیتال,ارائه راهکارهای جامع و هوشمند در زمینه تبلیغات دیجیتال,خنثی,خنثی,,,,,,,,,,,
,آکادمی تپسل (کالج تپسل),آموزش,ارائه دوره های ضبط شده کوتاه و وبلاگ متنی در زمینه دیجیتال مارکتینگ (بیشتر برای سئو سایت),خنثی,شریک راهبردی,تولید محتوا در رابطه با نقش لجستیک در سودآوری کسب و کارهای آنلاین کوچک,,,,,,,,,,
یکتانت,تریبون,تبلیغات دیجیتال,ارائه کمپین های رپورتاژ آگهی و درج بک لینک در رسانه های داخلی و خارجی,خنثی,خنثی,,,,,,,,,,,
,جریان,تبلیغات دیجیتال,ارائه کمپین تبلیغاتی در اینستاگرام، تلگرام، لینکدین و روبیکا,خنثی,خنثی,,,,,,,,,,,
,ادیوری,تبلیغات دیجیتال,پلتفرم تبلیغات درون اپلیکشن و بازی موبایل است که  تبلیغات بنری، همسان و ویدئویی ارائه میدهد که هم صاحبان اپلیکیشن میتوانند درامدزای داشته باشند و هم سایرین تبلیغ سفارش دهند.,خنثی,خنثی,,,,,,,,,,,
,نجوا,تبلیغات دیجیتال,ارائه سرویس ارسال اعلان (Push Notification)، سرویس ایمیل مارکتینگ و سرویس اس‌ام‌اس مارکتینگ (ریتنشن مارکتینگ) ,خنثی,خنثی,,,,,,,,,,,
,آکادمی یکتانت,آموزش,ارائه دوره های ضبط شده کوتاه و رایگان در زمینه دیجیتال مارکتینگ ,خنثی,شریک راهبردی,تولید محتوا در رابطه با نقش لجستیک در سودآوری کسب و کارهای آنلاین کوچک,,,,,,,,,,
تکنوتجارت,financial inbox,سرمایه گذاری خطرپذیر,رائه حمایت‌های مالی، مشاوره بازاریابی، منابع انسانی و حمایت از توسعه زیرساخت‌های اثر‌گذار در ایجاد کسب‌و‌کارهای نوپا,سرمایه گذار,خنثی,,,,,,,,,,,
,پی بار,فینتک - لجستیک,ارائه خدمات در راستای مدیریت فرایند حمل و نقل جاده ای از جمله دیجیتال سازی بارنامه، استفاده از خدمات بانکی تحت پلتفرم، سیستم گزارش گیری و ...,خنثی,خنثی,,,,,,,,,,,
,آیان,فینتک - فناوری اطلاعات,ارائه خدمات مدیریت، استعلام و پرداخت قبوض (قبضینو) و همینطور خدمات شهروندی یک دفتر پیشخوان آنلاین مانند استعلام سهام عدالت، یارانه نقدی، خرید شارژ و بسته اینترنت و ... (پیشخوان24),شریک راهبردی,خنثی,,,,,,,,,,,
,بیدُک,تجارت الکترونیک,فروشگاه‌ساز با ویژگی Omni-channel که اطلاعات موجود در تمامی کانال‌های فروش محصول را یکپارچه می‌کند و با سیستم‌های حسابداری اصناف به‌صورت آنلاین در ارتباط است.,مشتری,مشتری,اتصال وبسایت های ساخته شده به API سرویس های هلدینگ,,,,,,,,,,
,باروک,فینتک,پلتفرم مدیریت تامین مالی کسب و کارها از طریق اتصال مشتریان ورودی حقیقی و حقوقی پلتفرم به یکدیگر ,شریک راهبردی,خنثی,,,,,,,,,,,
,لامینگو,خدمات حقوقی,پلتفرم ارائۀ خدمات حقوقی از جمله تنظیم آنلاین قرارداد و اسناد حقوقی و ارائه خدمات مشاوره ای,خنثی,خنثی,,,,,,,,,,,
,جاده,لجستیک,پل ارتباطی بین راننده (ماشین های سنگین)، باربری و صاحب کالا و مدیریت و اتوماسیون سازی فرایندهای حمل,خنثی,خنثی,,,,,,,,,,,
,دیجی پی,فینتک,پلتفرم جامع فین‌تک برای پرداخت، اقساط، مدیریت مالی و بیمه,شریک راهبردی,خنثی,,,,,,,,,,,
,ققنوس,فینتک (بلاک چین),ارائه خدمات و محصولات مبتنی بر زنجیره بلوک (بلاکچین) و توکنیزه کردن دارایی میزبان های این شبکه,خنثی,خنثی,ارائه قراردادهای هوشمند بر بستر بلاکچین,,,,,,,,,,
,آوای اطمینان,بازارهای مالی,ارائه راهکارهای آنلاین معاملات در بورس کالا و انرژی​​​​​​​​​​​​​​,خنثی,خنثی,,,,,,,,,,,
آپ و تاپ,,فینتک,ارائه خدمات در زمینه پرداخت‌های الكترونیک و پایانه های فروش ,شریک راهبردی,خنثی,ارائه سرویس های اشتراک لجستیک بر پایه کیف پول,,,,,,,,,,
مکس,مکس امید,سرمایه گذاری خصوصی,سرمایه گذاری و ارائه حمایت های تخصصی در حوزه های مختلف کسب و کار برای شرکت های در حال توسعه,سرمایه گذار,خنثی,,,,,,,,,,,
,بیت مکس,فینتک,پلتفرم خرید و فروش و نگهداری ارزهای دیجیتال,خنثی,خنثی,,,,,,,,,,,
,آدیلار,خدمات استخدام,ارائه خدمات آنلاین جذب و استخدام برای شرکت ها ,خنثی,خنثی,,,,,,,,,,,
,جی مکس,سرگرمی,طراحی، ساخت و بهره برداری از پارک ها و وسایل سرگرمی هیجان انگیز ( مانند بانجی جامپینگ),خنثی,شریک راهبردی,,,,,,,,,,,
,بارولاین,لجستیک,اعلام بار سراسری به رانندگان، صدور بارنامه هوشمند و ...,رقیب,شریک راهبردی,,,,,,,,,,,
,چاپ آقا,چاپ و طراحی آنلاین,سفارش گذاری آنلاین طراحی و چاپ محصولات تبلیغاتی، بسته بندی و ...,خنثی,مشتری,,,,,,,,,,,
,شیمی دانان ویرا,خدماتی-بازرگانی در حوزه آزمایشگاه‌های غیرطبی, ارائه خدمات فنی تخصصی (مشاوره، آموزش و آزمون مهارت) به آزمایشگاهها و تامین کننده مواد و کیت های مورد نیاز آزمایشگاه ها,مشتری,شریک راهبردی,,,,,,,,,,,
,ورانِگر,لجستیک - نرم‌افزارهای مدیریت پخش و توزیع,ارائه راهکارهای جامع برای شرکت های پخش,مشتری,شریک راهبردی,,,,,,,,,,,
,ویراماینر,خدمات حوزه بلاکچین و رمز ارزها,طراحی، راه‌اندازی و نگهداری مزارع استخراج ارز دیجیتال و ارائه خدمات مرتبط مانند تعمیر و هاستینگ دستگاه‌های ماینر,خنثی,شریک راهبردی,,,,,,,,,,,
,بتا سیستم,نرم افزارهای حوزه فناوری اطلاعات,مشاوره، پیاده‌سازی و پشتیبانی نرم‌افزارهای ERP مانند SAP Business One و ارائه راهکارهایی برای بهینه‌سازی فرآیندهای سازمانی ,خنثی,خنثی,,,,,,,,,,,
,جیروکو,,,,,,,,,,,,,,,
,مکس دنتال (مکس کلینیکس),دندان پزشکی,کلینیک های زنجیره ای دندان پزشکی با ارائه خدماتی چون نوبت‌دهی آنلاین، دسترسی ۲۴ ساعته به پرونده‌ها، تسهیلات مالی و ...,خنثی,خنثی,,,,,,,,,,,
,ازکی,فناوری بیمه (اینشورتک),پلتفرم آنلاین مقایسه و خرید بیمه,شریک راهبردی,خنثی,,,,,,,,,,,
,پلاک,اپلیکیشن ارائه خدمات خانگی,ارائه خدمات در محل مانند نظافت منزل، کارواش سیار، اسباب کشی و ...,شریک راهبردی,رقیب,Silver Economy,,,,,,,,,,
,خودرو 45,خرید و فروش خودرو,پلتفرم فروش آنی خودرو با ارائه کارشناسی,خنثی,خنثی,,,,,,,,,,,
,اتوبان,خرید و فروش خودرو سنگین,خرید، فروش، کارشناسی و تسهیلات خودرو سنگین,خنثی,شریک راهبردی,تامین ناوگان,,,,,,,,,,
,یوتوپین,فناوری گردشگری (تراول تک), پلتفرم آنلاین گردشگری با خدمات رزرو آنلاین تور، راهنمای سفر و ...,شریک راهبردی,خنثی,,,,,,,,,,,
,wish work,پلتفرم فریلنسینگ و برونسپاری پروژه,پلتفرم برونسپاری پروژه ها در حوزه های مختلف مانند برنامه نویسی، طراحی، تولید محتوا و ...,خنثی,خنثی,,,,,,,,,,,
لیان,man,,,,,,,,,,,,,,,
,آدریان,,,,,,,,,,,,,,,
,homeka,,ارائه خدمات آزمایشگاهی در منزل,شریک راهبردی,رقیب,Silver Economy,,,,,,,,,,
,هیلیا,,,,,,,,,,,,,,,
,نیچرز پلنتی,مکمل های سلامت,تولید و واردات دارو، مکمل های غذایی و محصولات آرایشی و بهداشتی,خنثی,مشتری,,,,,,,,,,,
,مهر گیاه,دمنوش های گیاهی,تولید دمنوش های گیاهی در بسته بندی های کیسه ای,خنثی,مشتری,,,,,,,,,,,
,شیرین مهرآرا,محصولات غذایی سالم و نوآورانه,تولید محصولات غذایی مانند غلات صبحانه، چیپس میوه خشک و ...,خنثی,مشتری,,,,,,,,,,,
,دکتر دکتر,فناوری سلامت,سامانه نوبت‌دهی و ارائه خدمات پزشکی آنلاین مانند مشاوره تلفنی، خرید دارو و ...,شریک راهبردی,خنثی,,,,,,,,,,,
,دکتر ساینا,فناوری سلامت,پلتفرم ارائه خدمات مشاوره پزشکی آنلاین، آزمایش در محل، تست روانشناسی و ...,شریک راهبردی,رقیب,Silver Economy,,,,,,,,,,
ارتباط فردا,قسطا,فینتک,پلتفرم ارائه دهنده وام های فوری و بدون ضامن و امکان خرید اقساطی از فروشگاههای طرف قرارداد,شریک راهبردی,خنثی,,,,,,,,,,,
,تیمچه,تجارت الکترونیک (فروشگاه اینترنتی),فروشگاه اینترنتی (مارکت پلیس) همه نوع کالا,مشتری,شریک راهبردی,,,,,,,,,,,
,اتاقک,اقامتگاه,پلتفرم اجاره آنلاین اقامتگاه,خنثی,شریک راهبردی,,,,,,,,,,,
,پابلا,فینتک,پلتفرم ارائه خدمات کپی تریدینگ در بازارهای ارزهای دیجیتال,خنثی,خنثی,,,,,,,,,,,
,لندو,فینتک,پلتفرم ارائه دهنده وام بدون ضامن و امکان خرید اقساطی از فروشگاههای طرف قرارداد,شریک راهبردی,خنثی,,,,,,,,,,,
,وندار,فینتک,ارائه راکارهای جامع پرداخت، تسویه و مدیریت مالی به کسب و کارها,شریک راهبردی,مشتری,,,,,,,,,,,
,پینکت,تجارت الکترونیک (فروشگاه اینترنتی),خرید آنلاین اقلام سوپرمارکتی، میوه و سبزی و ... از فروشگاه‌های زنجیره‌ای مانند هایپرمی، شهروند و ... و تحویل حضوری درب منزل,خنثی,شریک راهبردی,,,,,,,,,,,
,مدام,تولید وندینگ ماشین,تولید دستگاههای رباتیک، شروع با وندینگ ماشین قهوه و نوشیدنی های گرم و سرد,خنثی,خنثی,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,شرکت های لجستیک گروه گلدیران,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,تیپاکس,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,ماهکس,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,یارباکس,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,گلرنگ ترابر,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,پیک بادپا,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,کالا رسانان چاپار,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,کالارسان,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,اسپیدکس,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,پست بین المللی PDE,شرکت‌های حمل‌و‌نقل,,,,,,,,,,,,,,
,پرشیا اکسپرس,تحویل سریع,,,,,,,,,,,,,,
,لینک اکسپرس,تحویل سریع,,,,,,,,,,,,,,
,منم پست,تحویل سریع,,,,,,,,,,,,,,
,میاره,تحویل سریع,,,,,,,,,,,,,,
,اسنپ باکس,تحویل سریع,,,,,,,,,,,,,,
,تی نکست,تحویل سریع,,,,,,,,,,,,,,
,الو پیک,تحویل سریع,,,,,,,,,,,,,,
,پیک هاب,تحویل سریع,,,,,,,,,,,,,,
,دیجی اکسپرس,تحویل سریع,,,,,,,,,,,,,,
,تعارف,تحویل سریع,,,,,,,,,,,,,,
,زپ,تحویل سریع,,,,,,,,,,,,,,
,اسپید,تحویل سریع,,,,,,,,,,,,,,
,تپسی,تحویل سریع,,,,,,,,,,,,,,
,انجمن حمل و نقل پاک و پایدار,نهادهای صنفی,,,,,,,,,,,,,,
,اتاق بازرگانی ایران,نهادهای صنفی,,,,,,,,,,,,,,
,سازمان نظام صنفی رایانه ای (نصر),نهادهای صنفی,,,,,,,,,,,,,,
,انجمن لجستیک ایران,نهادهای صنفی,,,,,,,,,,,,,,
,اتاق بازرگانی تهران,نهادهای صنفی,,,,,,,,,,,,,,
,سازمان تنظیم مقررات و ارتباطات رادیویی,رگولاتوری,,,,,,,,,,,,,,
,وزارت راه و شهرسازی,رگولاتوری,,,,,,,,,,,,,,
,شتابدهنده پیشگامان کویر,مراکز نوآوری و شتابدهنده‌ها,,,,,,,,,,,,,,
,دیجی نکست,مراکز نوآوری و شتابدهنده‌ها,,,,,,,,,,,,,,
,تریگ آپ,مراکز نوآوری و شتابدهنده‌ها,,,,,,,,,,,,,,
,روناد,3PL,,,,,,,,,,,,,,
,رابین لجستیک,3PL,,,,,,,,,,,,,,
,ایفا,3PL,,,,,,,,,,,,,,
,اسنوا ونچرز,سرمایه‌گذاری,,,,,,,,,,,,,,
,ران وی,سرمایه‌گذاری,,,,,,,,,,,,,,
